대학ID,학년도,제목,파일
44,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243016&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000020&searchSyr=2027
45,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244252&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000028&searchSyr=2027
46,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243055&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000034&searchSyr=2027
47,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255136&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000033&searchSyr=2027
48,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257177&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000039&searchSyr=2027
49,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243009&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000078&searchSyr=2027
50,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000252398&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000080&searchSyr=2027
51,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257878&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000224&searchSyr=2027
52,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255155&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000241&searchSyr=2027
53,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000254716&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000081&searchSyr=2027
54,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257179&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000216&searchSyr=2027
55,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257687&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000245&searchSyr=2027
56,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242997&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000082&searchSyr=2027
57,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243207&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000088&searchSyr=2027
59,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257979&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000253&searchSyr=2027
60,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242852&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000084&searchSyr=2027
61,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256702&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000087&searchSyr=2027
62,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257996&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000061&searchSyr=2027
63,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243052&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000093&searchSyr=2027
64,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256547&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000094&searchSyr=2027
65,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257691&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000095&searchSyr=2027
66,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256612&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000238&searchSyr=2027
67,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242970&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000097&searchSyr=2027
68,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256783&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000099&searchSyr=2027
69,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243064&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000100&searchSyr=2027
70,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242986&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000101&searchSyr=2027
71,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256526&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000102&searchSyr=2027
72,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255198&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000235&searchSyr=2027
73,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244507&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000103&searchSyr=2027
74,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257694&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000104&searchSyr=2027
75,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242892&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000105&searchSyr=2027
76,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244728&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000106&searchSyr=2027
77,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000252168&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000107&searchSyr=2027
78,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000251956&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000108&searchSyr=2027
79,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243027&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000109&searchSyr=2027
80,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000239967&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000112&searchSyr=2027
81,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256894&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000221&searchSyr=2027
82,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243046&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000113&searchSyr=2027
83,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244401&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000178&searchSyr=2027
84,2027,2027학년도 수시모집요강,https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245025&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000114&searchSyr=2027
